"Jahr","Datum","Index","Meta","Type","Content"
"1995",1995-03-01,"141.9",NA,NA,NA
"1995",1995-04-01,"142.1",NA,NA,NA
"1995",1995-05-01,"141.8",NA,NA,NA
"1995",1995-06-01,"142.1",NA,NA,NA
"1995",1995-07-01,"142",NA,NA,NA
"1995",1995-08-01,"142.4",NA,NA,NA
"1995",1995-09-01,"142.6",NA,NA,NA
"1995",1995-10-01,"142.4",NA,NA,NA
"1995",1995-11-01,"142.3",NA,NA,NA
"1995",1995-12-01,"142.3",NA,NA,NA
"1996",1996-01-01,"142.7",NA,NA,NA
"1996",1996-02-01,"143",NA,NA,NA
"1996",1996-03-01,"143.2",NA,NA,NA
"1996",1996-04-01,"143.4",NA,NA,NA
"1996",1996-05-01,"142.8",NA,NA,NA
"1996",1996-06-01,"143.1",NA,NA,NA
"1996",1996-07-01,"142.9",NA,NA,NA
"1996",1996-08-01,"143.3",NA,NA,NA
"1996",1996-09-01,"143.4",NA,NA,NA
"1996",1996-10-01,"143.6",NA,NA,NA
"1996",1996-11-01,"143.3",NA,NA,NA
"1996",1996-12-01,"143.4",NA,NA,NA
"1997",1997-01-01,"143.9",NA,NA,NA
"1997",1997-02-01,"144.2",NA,NA,NA
"1997",1997-03-01,"144",NA,NA,NA
"1997",1997-04-01,"144.1",NA,NA,NA
"1997",1997-05-01,"143.7",NA,NA,NA
"1997",1997-06-01,"143.8",NA,NA,NA
"1997",1997-07-01,"143.7",NA,NA,NA
"1997",1997-08-01,"144",NA,NA,NA
"1997",1997-09-01,"144",NA,NA,NA
"1997",1997-10-01,"144",NA,NA,NA
"1997",1997-11-01,"143.9",NA,NA,NA
"1997",1997-12-01,"144",NA,NA,NA
"1998",1998-01-01,"144",NA,NA,NA
"1998",1998-02-01,"144.1",NA,NA,NA
"1998",1998-03-01,"144",NA,NA,NA
"1998",1998-04-01,"144.1",NA,NA,NA
"1998",1998-05-01,"143.8",NA,NA,NA
"1998",1998-06-01,"144",NA,NA,NA
"1998",1998-07-01,"143.8",NA,NA,NA
"1998",1998-08-01,"144.2",NA,NA,NA
"1998",1998-09-01,"144.1",NA,NA,NA
"1998",1998-10-01,"144",NA,NA,NA
"1998",1998-11-01,"143.8",NA,NA,NA
"1998",1998-12-01,"143.8",NA,NA,NA
"1999",1999-01-01,"144.1",NA,NA,NA
"1999",1999-02-01,"144.5",NA,NA,NA
"1999",1999-03-01,"144.7",NA,NA,NA
"1999",1999-04-01,"144.9",NA,NA,NA
"1999",1999-05-01,"144.6",NA,NA,NA
"1999",1999-06-01,"144.8",NA,NA,NA
"1999",1999-07-01,"144.8",NA,NA,NA
"1999",1999-08-01,"145.5",NA,NA,NA
"1999",1999-09-01,"145.8",NA,NA,NA
"1999",1999-10-01,"145.8",NA,NA,NA
"1999",1999-11-01,"145.7",NA,NA,NA
"1999",1999-12-01,"146.2",NA,NA,NA
"2000",2000-01-01,"146.3",NA,NA,NA
"2000",2000-02-01,"146.9",NA,NA,NA
"2000",2000-03-01,"146.8",NA,NA,NA
"2000",2000-04-01,"147",NA,NA,NA
"2000",2000-05-01,"146.9",NA,NA,NA
"2000",2000-06-01,"147.4",NA,NA,NA
"2000",2000-07-01,"147.6",NA,NA,NA
"2000",2000-08-01,"147.2",NA,NA,NA
"2000",2000-09-01,"147.9",NA,NA,NA
"2000",2000-10-01,"147.7",NA,NA,NA
"2000",2000-11-01,"148.5",NA,NA,NA
"2000",2000-12-01,"148.3",NA,NA,NA
"2001",2001-01-01,"148.2",NA,NA,NA
"2001",2001-02-01,"148",NA,NA,NA
"2001",2001-03-01,"148.3",NA,NA,NA
"2001",2001-04-01,"148.7",NA,NA,NA
"2001",2001-05-01,"149.5",NA,NA,NA
"2001",2001-06-01,"149.8",NA,NA,NA
"2001",2001-07-01,"149.5",NA,NA,NA
"2001",2001-08-01,"148.7",NA,NA,NA
"2001",2001-09-01,"148.9",NA,NA,NA
"2001",2001-10-01,"148.7",NA,NA,NA
"2001",2001-11-01,"148.9",NA,NA,NA
"2001",2001-12-01,"148.8",NA,NA,NA
"2002",2002-01-01,"149",NA,NA,NA
"2002",2002-02-01,"149",NA,NA,NA
"2002",2002-03-01,"149",NA,NA,NA
"2002",2002-04-01,"150.3",NA,NA,NA
"2002",2002-05-01,"150.5",NA,NA,NA
"2002",2002-06-01,"150.3",NA,NA,NA
"2002",2002-07-01,"149.5",NA,NA,NA
"2002",2002-08-01,"149.4",NA,NA,NA
"2002",2002-09-01,"149.6",NA,NA,NA
"2002",2002-10-01,"150.5",NA,NA,NA
"2002",2002-11-01,"150.2",NA,NA,NA
"2002",2002-12-01,"150.2",NA,NA,NA
"2003",2003-01-01,"150.3",NA,NA,NA
"2003",2003-02-01,"150.4",NA,NA,NA
"2003",2003-03-01,"151",NA,NA,NA
"2003",2003-04-01,"151.3",NA,NA,NA
