"Woche","Altersklasse","Anzahl Fälle","Meta","Type","Content"
2020-10-12,"80+ Jahre","1",NA,NA,NA
2020-10-19,"0 - 9 Jahre","0",NA,NA,NA
2020-10-19,"10 - 19 Jahre","0",NA,NA,NA
2020-10-19,"20 - 29 Jahre","0",NA,NA,NA
2020-10-19,"30 - 39 Jahre","0",NA,NA,NA
2020-10-19,"40 - 49 Jahre","0",NA,NA,NA
2020-10-19,"50 - 59 Jahre","0",NA,NA,NA
2020-10-19,"60 - 69 Jahre","0",NA,NA,NA
2020-10-19,"70 - 79 Jahre","0",NA,NA,NA
2020-10-19,"80+ Jahre","0",NA,NA,NA
2020-10-26,"0 - 9 Jahre","0",NA,NA,NA
2020-10-26,"10 - 19 Jahre","0",NA,NA,NA
2020-10-26,"20 - 29 Jahre","0",NA,NA,NA
2020-10-26,"30 - 39 Jahre","0",NA,NA,NA
2020-10-26,"40 - 49 Jahre","0",NA,NA,NA
2020-10-26,"50 - 59 Jahre","0",NA,NA,NA
2020-10-26,"60 - 69 Jahre","1",NA,NA,NA
2020-10-26,"70 - 79 Jahre","0",NA,NA,NA
2020-10-26,"80+ Jahre","1",NA,NA,NA
2020-11-02,"0 - 9 Jahre","0",NA,NA,NA
2020-11-02,"10 - 19 Jahre","0",NA,NA,NA
2020-11-02,"20 - 29 Jahre","0",NA,NA,NA
2020-11-02,"30 - 39 Jahre","0",NA,NA,NA
2020-11-02,"40 - 49 Jahre","0",NA,NA,NA
2020-11-02,"50 - 59 Jahre","0",NA,NA,NA
2020-11-02,"60 - 69 Jahre","0",NA,NA,NA
2020-11-02,"70 - 79 Jahre","0",NA,NA,NA
2020-11-02,"80+ Jahre","2",NA,NA,NA
2020-11-09,"0 - 9 Jahre","0",NA,NA,NA
2020-11-09,"10 - 19 Jahre","0",NA,NA,NA
2020-11-09,"20 - 29 Jahre","0",NA,NA,NA
2020-11-09,"30 - 39 Jahre","0",NA,NA,NA
2020-11-09,"40 - 49 Jahre","0",NA,NA,NA
2020-11-09,"50 - 59 Jahre","0",NA,NA,NA
2020-11-09,"60 - 69 Jahre","0",NA,NA,NA
2020-11-09,"70 - 79 Jahre","1",NA,NA,NA
2020-11-09,"80+ Jahre","6",NA,NA,NA
2020-11-16,"0 - 9 Jahre","0",NA,NA,NA
2020-11-16,"10 - 19 Jahre","0",NA,NA,NA
2020-11-16,"20 - 29 Jahre","0",NA,NA,NA
2020-11-16,"30 - 39 Jahre","0",NA,NA,NA
2020-11-16,"40 - 49 Jahre","0",NA,NA,NA
2020-11-16,"50 - 59 Jahre","0",NA,NA,NA
2020-11-16,"60 - 69 Jahre","0",NA,NA,NA
2020-11-16,"70 - 79 Jahre","0",NA,NA,NA
2020-11-16,"80+ Jahre","6",NA,NA,NA
2020-11-23,"0 - 9 Jahre","0",NA,NA,NA
2020-11-23,"10 - 19 Jahre","0",NA,NA,NA
2020-11-23,"20 - 29 Jahre","0",NA,NA,NA
2020-11-23,"30 - 39 Jahre","0",NA,NA,NA
2020-11-23,"40 - 49 Jahre","0",NA,NA,NA
2020-11-23,"50 - 59 Jahre","0",NA,NA,NA
2020-11-23,"60 - 69 Jahre","2",NA,NA,NA
2020-11-23,"70 - 79 Jahre","1",NA,NA,NA
2020-11-23,"80+ Jahre","2",NA,NA,NA
2020-11-30,"0 - 9 Jahre","0",NA,NA,NA
2020-11-30,"10 - 19 Jahre","0",NA,NA,NA
2020-11-30,"20 - 29 Jahre","0",NA,NA,NA
2020-11-30,"30 - 39 Jahre","0",NA,NA,NA
2020-11-30,"40 - 49 Jahre","0",NA,NA,NA
2020-11-30,"50 - 59 Jahre","0",NA,NA,NA
2020-11-30,"60 - 69 Jahre","1",NA,NA,NA
2020-11-30,"70 - 79 Jahre","0",NA,NA,NA
2020-11-30,"80+ Jahre","7",NA,NA,NA
2020-12-07,"0 - 9 Jahre","0",NA,NA,NA
2020-12-07,"10 - 19 Jahre","0",NA,NA,NA
2020-12-07,"20 - 29 Jahre","0",NA,NA,NA
2020-12-07,"30 - 39 Jahre","0",NA,NA,NA
2020-12-07,"40 - 49 Jahre","0",NA,NA,NA
2020-12-07,"50 - 59 Jahre","0",NA,NA,NA
2020-12-07,"60 - 69 Jahre","0",NA,NA,NA
2020-12-07,"70 - 79 Jahre","0",NA,NA,NA
2020-12-07,"80+ Jahre","12",NA,NA,NA
2020-12-14,"0 - 9 Jahre","0",NA,NA,NA
2020-12-14,"10 - 19 Jahre","0",NA,NA,NA
2020-12-14,"20 - 29 Jahre","0",NA,NA,NA
2020-12-14,"30 - 39 Jahre","0",NA,NA,NA
2020-12-14,"40 - 49 Jahre","0",NA,NA,NA
2020-12-14,"50 - 59 Jahre","0",NA,NA,NA
2020-12-14,"60 - 69 Jahre","0",NA,NA,NA
2020-12-14,"70 - 79 Jahre","0",NA,NA,NA
2020-12-14,"80+ Jahre","7",NA,NA,NA
2020-12-21,"0 - 9 Jahre","0",NA,NA,NA
2020-12-21,"10 - 19 Jahre","0",NA,NA,NA
2020-12-21,"20 - 29 Jahre","0",NA,NA,NA
2020-12-21,"30 - 39 Jahre","0",NA,NA,NA
2020-12-21,"40 - 49 Jahre","0",NA,NA,NA
2020-12-21,"50 - 59 Jahre","0",NA,NA,NA
2020-12-21,"60 - 69 Jahre","0",NA,NA,NA
2020-12-21,"70 - 79 Jahre","2",NA,NA,NA
2020-12-21,"80+ Jahre","4",NA,NA,NA
2020-12-28,"0 - 9 Jahre","1",NA,NA,NA
2020-12-28,"10 - 19 Jahre","0",NA,NA,NA
2020-12-28,"20 - 29 Jahre","0",NA,NA,NA
2020-12-28,"30 - 39 Jahre","0",NA,NA,NA
2020-12-28,"40 - 49 Jahre","0",NA,NA,NA
2020-12-28,"50 - 59 Jahre","0",NA,NA,NA
2020-12-28,"60 - 69 Jahre","2",NA,NA,NA
2020-12-28,"70 - 79 Jahre","0",NA,NA,NA
2020-12-28,"80+ Jahre","6",NA,NA,NA
2021-01-04,"0 - 9 Jahre","0",NA,NA,NA
2021-01-04,"10 - 19 Jahre","0",NA,NA,NA
2021-01-04,"20 - 29 Jahre","0",NA,NA,NA
2021-01-04,"30 - 39 Jahre","0",NA,NA,NA
2021-01-04,"40 - 49 Jahre","0",NA,NA,NA
2021-01-04,"50 - 59 Jahre","0",NA,NA,NA
2021-01-04,"60 - 69 Jahre","0",NA,NA,NA
2021-01-04,"70 - 79 Jahre","1",NA,NA,NA
2021-01-04,"80+ Jahre","8",NA,NA,NA
2021-01-11,"0 - 9 Jahre","0",NA,NA,NA
2021-01-11,"10 - 19 Jahre","0",NA,NA,NA
2021-01-11,"20 - 29 Jahre","0",NA,NA,NA
2021-01-11,"30 - 39 Jahre","0",NA,NA,NA
2021-01-11,"40 - 49 Jahre","0",NA,NA,NA
2021-01-11,"50 - 59 Jahre","0",NA,NA,NA
2021-01-11,"60 - 69 Jahre","0",NA,NA,NA
2021-01-11,"70 - 79 Jahre","0",NA,NA,NA
2021-01-11,"80+ Jahre","16",NA,NA,NA
2021-01-18,"0 - 9 Jahre","0",NA,NA,NA
2021-01-18,"10 - 19 Jahre","0",NA,NA,NA
2021-01-18,"20 - 29 Jahre","0",NA,NA,NA
2021-01-18,"30 - 39 Jahre","0",NA,NA,NA
2021-01-18,"40 - 49 Jahre","0",NA,NA,NA
2021-01-18,"50 - 59 Jahre","0",NA,NA,NA
2021-01-18,"60 - 69 Jahre","0",NA,NA,NA
2021-01-18,"70 - 79 Jahre","0",NA,NA,NA
2021-01-18,"80+ Jahre","8",NA,NA,NA
2021-01-25,"0 - 9 Jahre","0",NA,NA,NA
2021-01-25,"10 - 19 Jahre","0",NA,NA,NA
2021-01-25,"20 - 29 Jahre","0",NA,NA,NA
2021-01-25,"30 - 39 Jahre","0",NA,NA,NA
2021-01-25,"40 - 49 Jahre","0",NA,NA,NA
2021-01-25,"50 - 59 Jahre","0",NA,NA,NA
2021-01-25,"60 - 69 Jahre","0",NA,NA,NA
2021-01-25,"70 - 79 Jahre","0",NA,NA,NA
2021-01-25,"80+ Jahre","1",NA,NA,NA
2021-02-01,"0 - 9 Jahre","0",NA,NA,NA
2021-02-01,"10 - 19 Jahre","0",NA,NA,NA
2021-02-01,"20 - 29 Jahre","0",NA,NA,NA
2021-02-01,"30 - 39 Jahre","0",NA,NA,NA
